symbol,yahoo_ticker,market_cap,isin,name,market,icb_industry,icb_supersector,icb_sector,icb_subsector
MC,MC.PA,220926623744.0,FR0000121014,LVMH,XPAR,"40, Consumer Discretionary","4020, Consumer Products and Services","402040, Personal Goods","40204020, Clothing and Accessories"
OR,OR.PA,189920673792.0,FR0000120321,L'OREAL,XPAR,"40, Consumer Discretionary","4020, Consumer Products and Services","402040, Personal Goods","40204035, Cosmetics"
TTE,TTE.PA,173941473280.0,FR0000120271,TOTALENERGIES,"XPAR, XBRU","60, Energy","6010, Energy","601010, Oil, Gas and Coal","60101000, Integrated Oil and Gas"
RMS,RMS.PA,163805577216.0,FR0000052292,HERMES INTL,XPAR,"40, Consumer Discretionary","4020, Consumer Products and Services","402040, Personal Goods","40204020, Clothing and Accessories"
SU,SU.PA,148954267648.0,FR0000121972,SCHNEIDER ELECTRIC,XPAR,"50, Industrials","5020, Industrial Goods and Services","502020, Electronic and Electrical Equipment","50202010, Electrical Components"
SAF,SAF.PA,115034161152.0,FR0000073272,SAFRAN,XPAR,"50, Industrials","5020, Industrial Goods and Services","502010, Aerospace and Defense","50201010, Aerospace"
AI,AI.PA,101648146432.0,FR0000120073,AIR LIQUIDE,XPAR,"55, Basic Materials","5520, Chemicals","552010, Chemicals","55201020, Specialty Chemicals"
BNP,BNP.PA,99320315904.0,FR0000131104,BNP PARIBAS ACT.A,XPAR,"30, Financials","3010, Banks","301010, Banks","30101010, Banks"
SAN,SAN.PA,87595483136.0,FR0000120578,SANOFI,XPAR,"20, Health Care","2010, Health Care","201030, Pharmaceuticals and Biotechnology","20103015, Pharmaceuticals"
CS,CS.PA,79049195520.0,FR0000120628,AXA,XPAR,"30, Financials","3030, Insurance","303020, Non-life Insurance","30302010, Full Line Insurance"
EL,EL.PA,76833103872.0,FR0000121667,ESSILORLUXOTTICA,XPAR,"20, Health Care","2010, Health Care","201020, Medical Equipment and Services","20102015, Medical Supplies"
CDI,CDI.PA,75808522240.0,FR0000130403,CHRISTIAN DIOR,XPAR,"40, Consumer Discretionary","4020, Consumer Products and Services","402040, Personal Goods","40204020, Clothing and Accessories"
ENGI,ENGI.PA,69443739648.0,FR0010208488,ENGIE,"XPAR, XBRU","65, Utilities","6510, Utilities","651020, Gas, Water and Multi-utilities","65102000, Multi-utilities"
DG,DG.PA,69281415168.0,FR0000125486,VINCI,XPAR,"50, Industrials","5010, Construction and Materials","501010, Construction and Materials","50101010, Construction"
ACA,ACA.PA,51240484864.0,FR0000045072,CREDIT AGRICOLE,XPAR,"30, Financials","3010, Banks","301010, Banks","30101010, Banks"
