isin,symbol,yahoo_ticker,name,sector,industry,market_cap
FR0000121014,MC,MC.PA,LVMH,Consumer Cyclical,Luxury Goods,233578299392.0
FR0000120321,OR,OR.PA,L'OREAL,Consumer Defensive,Household & Personal Products,191201083392.0
FR0000052292,RMS,RMS.PA,HERMES INTL,Consumer Cyclical,Luxury Goods,174813315072.0
FR0000120271,TTE,TTE.PA,TOTALENERGIES,Energy,Oil & Gas Integrated,169685237760.0
FR0000121972,SU,SU.PA,SCHNEIDER ELECTRIC,Industrials,Specialty Industrial Machinery,132734812160.0
FR0000073272,SAF,SAF.PA,SAFRAN,Industrials,Aerospace & Defense,119360331776.0
FR0000120073,AI,AI.PA,AIR LIQUIDE,Basic Materials,Specialty Chemicals,104159617024.0
FR0000120578,SAN,SAN.PA,SANOFI,Healthcare,Drug Manufacturers - General,99349479424.0
FR0000131104,BNP,BNP.PA,BNP PARIBAS ACT.A,Financial Services,Banks - Regional,91763335168.0
FR0000121667,EL,EL.PA,ESSILORLUXOTTICA,Healthcare,Medical Instruments & Supplies,88120745984.0
FR0000120628,CS,CS.PA,AXA,Financial Services,Insurance - Diversified,83263152128.0
FR0000130403,CDI,CDI.PA,CHRISTIAN DIOR,Consumer Cyclical,Luxury Goods,80571367424.0
FR0010208488,ENGI,ENGI.PA,ENGIE,Utilities,Utilities - Diversified,73492987904.0
FR0000125486,DG,DG.PA,VINCI,Industrials,Engineering & Construction,72932114432.0
FR0000121329,HO,HO.PA,THALES,Industrials,Aerospace & Defense,54976208896.0
FR0000045072,ACA,ACA.PA,CREDIT AGRICOLE,Financial Services,Banks - Regional,49513615360.0
FR0000133308,ORA,ORA.PA,ORANGE,Communication Services,Telecom Services,47556980736.0
FR0000130809,GLE,GLE.PA,SOCIETE GENERALE,Financial Services,Banks - Regional,46884425728.0
FR0000120644,BN,BN.PA,DANONE,Consumer Defensive,Packaged Foods,44325576704.0
FR0010307819,LR,LR.PA,LEGRAND,Industrials,Electrical Equipment & Parts,35540824064.0
FR0000125007,SGO,SGO.PA,SAINT GOBAIN,Industrials,Building Products & Equipment,34763165696.0
FR0000121485,KER,KER.PA,KERING,Consumer Cyclical,Luxury Goods,32524902400.0
FR0014004L86,AM,AM.PA,DASSAULT AVIATION,Industrials,Aerospace & Defense,26108899328.0
FR0000124141,VIE,VIE.PA,VEOLIA ENVIRON.,Industrials,Waste Management,24478251008.0
FR0014003TT8,DSY,DSY.PA,DASSAULT SYSTEMES,Technology,Software - Application,23134967808.0
FR0000120503,EN,EN.PA,BOUYGUES,Industrials,Engineering & Construction,19377119232.0
FR0000130577,PUB,PUB.PA,PUBLICIS GROUPE SA,Communication Services,Advertising Agencies,18037460992.0
FR0000125338,CAP,CAP.PA,CAPGEMINI,Technology,Information Technology Services,17246679040.0
FR0013154002,DIM,DIM.PA,SARTORIUS STED BIO,Healthcare,Medical Instruments & Supplies,16451433472.0
FR0000120693,RI,RI.PA,PERNOD RICARD,Consumer Defensive,Beverages - Wineries & Distilleries,15869479936.0
FR0004125920,AMUN,AMUN.PA,AMUNDI,Financial Services,Asset Management,15091772416.0
FR0013326246,URW,URW.PA,UNIBAIL-RODAMCO-WE,Real Estate,REIT - Retail,14191091712.0
FR0010259150,IPN,IPN.PA,IPSEN,Healthcare,Drug Manufacturers - Specialty & Generic,13803042816.0
FR0000039299,BOL,BOL.PA,BOLLORE,Communication Services,Entertainment,13491271680.0
FR0000130452,FGR,FGR.PA,EIFFAGE,Industrials,Engineering & Construction,13061372928.0
FR0014000MR3,ERF,ERF.PA,EUROFINS SCIENT.,Healthcare,Diagnostics & Research,11725651968.0
FR0006174348,BVI,BVI.PA,BUREAU VERITAS,Industrials,Consulting Services,11722848256.0
FR0000120172,CA,CA.PA,CARREFOUR,Consumer Defensive,Grocery Stores,11459795968.0
FR0010220475,ALO,ALO.PA,ALSTOM,Industrials,Railroads,11213467648.0
FR0013280286,BIM,BIM.PA,BIOMERIEUX,Healthcare,Diagnostics & Research,11046403072.0
